start	end	text
242890	249570	И из такой позиции стараемся поднять ручку на вес до стаи яблока с неба.
250770	252030	Приняя по что?
252590	255790	Выполняем также 30-45 секунд.
260590	262490	Ручку проводим от груди.
263710	264630	Это очень важно.
274670	275830	Очень хорошее упражнение.
276970	279110	Если вы будете выполнять данное упражнение,
280070	285070	хотя бы в течение 7 дней вы забудете о болях поясницы.
292630	293090	Отлично.
293670	294590	Следующее упражнение.
295970	301630	Это так называемый хипкарс вращения в тазобедренную суставу в позиции тверенька.
302590	312690	Мы медленно по полной амплитуде вращаем бедро вокруг своей оси.
313470	315810	В одну и в другую сторону.
316590	319550	Выполняем по 30 секунд на каждую ногу.
321070	326290	Медленно, в каждом движении концентрировано.
326670	330950	Сегментарно мы двигаем наш тазобедренный сустав.
332630	334490	Не ускоряемся.
335390	339250	Таким образом мы развиваем и мобильность, и силу мышц,
339370	341650	которые окружают наш тазобедренный сустав.
345870	346910	Отлично.
349250	350870	В одну сторону.
354590	356670	Семечательно, меняем ногу местами.
357670	358710	Меняем ножки.
362830	366750	Очень важно следить за тем, чтобы ваш корпус оставался неподвижным.
366970	368410	Таз не уезжает в стороны.
370010	372510	Двигаемся и следим за нашим корпусом.
381390	382030	Дышим.
391790	392670	Х**чки.
394750	395030	Отлично.
395830	400910	Следующее упражнение это негодичный мостик на одной ноге.
403590	405170	Располагаемся таким образом.
407830	413310	Очень важно здесь начать движение с того, чтобы вы подворачиваете таз
413310	415470	и прижимаете поясницу к полу.
416290	417670	Выполняем глубокий вдох.
418630	425010	И на выдохе подворачиваем таз и поднимаем негодицы вверх.
425350	428690	И в конце поднимаем ножку вперед.
428810	429690	Опускаемся вниз.
429910	433290	Также медленно, сегментарно позвонок за ползонком.
434250	435370	Разворачиваем таз.
436190	437230	Выдыхаем.
437370	443070	На выдохе выполняем подъем и выпрямляем другую ножку вверх.
453630	454490	Отлично.
455030	458830	Поднимаем ножку наверх.
458870	462990	Уполняем около 15-й повторений.
463830	466230	В 8 раз на каждую ногу.
474530	476170	Забрадно и медленно.
477870	478170	Вдох.
479850	480490	Выдых.
480590	481670	Выходим наверх.
481750	485050	Годички напрягаем и выпрямляем ножку.
485770	486950	Носок тянет на себя.
490330	492130	Позвонок за позвонком.
493090	494230	В районе поясницы.
495710	500530	Очень хорошее упражнение для контроля таза, для улучшения мобильности
500530	503710	и для улучшения сегментарного контроля.
506250	508170	Делаем в 2 раз.
514390	515750	Вдох.
520170	520710	Отлично.
524170	525450	Немерщаем таз на место.
526630	527350	Отлично.
530170	531910	Переходим к заключительному упражнению.
532130	533970	Это сегментарная планка.
533970	537970	Очень важное упражнение для того, чтобы мы наладили координацию между мозгом,
538970	542130	мышцемикора и тазобедренным суставом.
542350	548430	Мы выполняем не просто планку, а планку с контролем таза и поясниц.
549310	550610	Располагаемся на коврике.
552590	555390	Локти у нас находятся под плечами.
557110	558470	Располагаемся следующим образом.
559270	561950	Проваливаемся в грудном отделе.
562230	563110	Смотрим наверх.
563110	566590	Выполняем глубокий вдох.
566830	570310	И на выдохе поднимаемся наверх в планку.
570370	572270	При этом мы проваливаем грудной отдел.
573150	575390	И выравниваемся поясничке.
577110	577850	Смотрим вперед.
580150	582050	Такого движения у нас быть не должно.
582290	585210	Как только мы почувствовали, что мы провалились поясницы,
585670	587590	сразу же прекращаем, делаем паузу.
588010	588550	Продолжаем.
590890	593650	Должна быть практически ровная спина.
597730	599850	Животик максимально тягиваем.
601050	604230	Если мы будем выполнять планку именно таким образом,
604770	608710	с сегментарным контролем, буквально 20 секунд времени,
610350	613550	и вы захотите лечь на коврик.
615030	619750	5, 4, 3, 2, 1.
623550	623590	Замечательно.
624230	626570	Мы закончили утреннюю зарядку.
626830	630090	Этот комплекс замет буквально 8-10 минут.
630570	632750	Но те плюшки, которые вы получите от него,
633250	635450	будут давать вам положительные эмоции,
635810	637850	свободу в движениях, радость, легкость.
638070	639230	Более в пояснице пройдут.
639770	641970	Мобильность, озабетами, что става улучшатся.
641970	645330	И вы почувствуете, как ваша тазобетерная сустава
645330	646690	не навелись кровью.
646810	647710	А это самое главное.
648270	649910	Обязательно подписывайтесь и запомни,
649990	652290	что твое тело создано для движения.
